Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
04/03/2022,Ages_16-17_yrs,6046118,2.4,2.4,5186830,72.1,61.8,2.4,2.4,28.6,1.5,2.5,3.1,1481024,25314
04/03/2022,Age_unknown,9326,0,0,2214,,,0,0,0,0,0,0,0,0
04/03/2022,Ages_<12yrs,9994853,3.9,3.9,8023516,20.6,16.5,3.7,3.7,0,0,0,0,0,0
04/03/2022,Ages_50-64_yrs,58889024,23,23,51277706,92.5,80.5,23.5,23.5,52.2,27.3,24.4,24.5,26754500,199498
04/03/2022,Race_eth_NHAIAN,1745684,0.9,0.7,1449213,71.7,59.5,0.9,0.7,44.5,0.7,0.8,1.2,609025,8397
04/03/2022,Ages_12-17_yrs,17340567,6.8,6.8,14806635,68.5,58.5,6.8,6.8,23.5,3.6,7.1,9.9,3483821,80353
04/03/2022,Ages_18-24_yrs,23703326,9.3,9.3,19231899,77.5,62.9,8.8,8.8,30.4,6,9.2,8.8,5846561,71978
04/03/2022,Race_eth_NHOther,7641071,4,3,6400064,,,3.8,2.9,45.6,3.2,3.8,3.3,2793514,23976
04/03/2022,Race_eth_NHWhite,104759463,55.1,41,94961230,53.1,48.1,56.1,43.6,58.5,61.5,56.6,45.2,53787821,327173
04/03/2022,Race_eth_known,190176856,99.9,74.4,169234925,,,99.9,77.7,53.8,99.9,99.9,99.9,87452793,723767
04/03/2022,Ages_12-15_yrs,11294449,4.4,4.4,9619805,66.8,56.9,4.4,4.4,20.8,2,4.6,6.8,2002797,55039
04/03/2022,Race_eth_NHMultiracial,3721626,2,1.5,3721860,50.7,50.7,2.2,1.7,71.5,2.8,2.1,5.6,2475183,40862
04/03/2022,Sex_known,253444754,99.9,99.1,216300757,,,99.9,99.3,46.9,99.9,99.9,99.9,97787464,813884
04/03/2022,Ages_65-74_yrs,33539705,13.1,13.1,29180857,95,91.5,13.4,13.4,65.9,19.6,13.9,14.8,19239618,120505
04/03/2022,Race_eth_Hispanic,39449013,20.7,15.4,33591200,61.9,52.7,19.8,15.4,41,14.9,19.6,23.6,13063398,170895
04/03/2022,Sex_unknown,2269208,0.9,0.9,1533547,,,0.7,0.7,12,0.2,0.7,0.1,181539,1166
04/03/2022,Ages_5-11_yrs,9909357,3.9,3.9,7987184,34.5,27.8,3.7,3.7,0,0,0,0,0,0
04/03/2022,Ages_40-49_yrs,35148687,13.7,13.7,30230537,86.2,74.1,13.9,13.9,43,13.3,14.4,12.6,13003521,102952
04/03/2022,Ages_<5yrs,79531,0,0,34836,0.4,0.2,0,0,0,0,0,0,0,0
04/03/2022,Race_eth_NHNHOPI,608748,0.3,0.2,548955,65.6,59.1,0.3,0.3,45.9,0.3,0.3,0.5,238330,3734
04/03/2022,US,255713962,,100,217834304,77,65.6,,100,46.7,,100,,97969003,815050
04/03/2022,Race_eth_NHBlack,19556338,10.3,7.6,17084294,47.4,41.5,10.1,7.8,43.8,8.2,10.1,12.7,7214794,91787
04/03/2022,Sex_Male,121177699,47.8,47.4,102926639,74.1,63,47.6,47.2,44.7,45.2,47.5,44.8,44227120,364836
04/03/2022,Ages_75+_yrs,22728312,8.9,8.9,19650301,95,85.8,9,9,69.7,14,9.4,10.1,13701482,82033
04/03/2022,Race_eth_NHMult_Oth,11362697,6,4.4,10121924,,,6,4.6,54.9,6,5.9,9,5268697,64838
04/03/2022,Ages_25-39_yrs,54360162,21.3,21.3,45430639,79.5,66.4,20.9,20.9,35.1,16.3,21.7,19.4,15939500,157731
04/03/2022,Sex_Female,132267055,52.2,51.7,113374118,78.5,67.3,52.4,52,49,54.8,52.5,55.2,53560344,449048
04/03/2022,Race_eth_unknown,65537058,34.5,25.6,48599273,,,28.7,22.3,22.2,12,29.2,12.6,10516210,91283
04/03/2022,Age_known,255704636,99.9,99.9,217832090,,,99.9,99.9,46.7,99.9,99.9,99.9,97969003,815050
04/03/2022,Race_eth_NHAsian,12694913,6.7,5,11478109,66.8,60.4,6.8,5.3,67.8,8.3,6.6,7.9,7270728,56943
04/02/2022,Race_eth_NHMultiracial,3721626,2,1.5,3721860,50.7,50.7,2.2,1.7,71.5,2.8,2.1,5.4,2475183,43044
04/02/2022,Sex_Female,132267055,52.2,51.7,113374118,78.5,67.3,52.4,52,49,54.8,52.5,55.2,53560344,491793
04/02/2022,Ages_16-17_yrs,6046118,2.4,2.4,5186830,72.1,61.8,2.4,2.4,28.6,1.5,2.5,3.1,1481024,27970
04/02/2022,Age_unknown,9326,0,0,2214,,,0,0,0,0,0,0,0,0
04/02/2022,Ages_12-15_yrs,11294449,4.4,4.4,9619805,66.8,56.9,4.4,4.4,20.8,2,4.6,6.8,2002797,60423
04/02/2022,Race_eth_NHAsian,12694913,6.7,5,11478109,66.8,60.4,6.8,5.3,67.8,8.3,6.6,7.9,7270728,62605
04/02/2022,Ages_40-49_yrs,35148687,13.7,13.7,30230537,86.2,74.1,13.9,13.9,43,13.3,14.4,12.8,13003521,113780
04/02/2022,Sex_Male,121177699,47.8,47.4,102926639,74.1,63,47.6,47.2,44.7,45.2,47.5,44.8,44227120,398885
04/02/2022,Race_eth_NHOther,7641071,4,3,6400064,,,3.8,2.9,45.6,3.2,3.8,3.3,2793514,26309
04/02/2022,Ages_<12yrs,9994853,3.9,3.9,8023516,20.6,16.5,3.7,3.7,0,0,0,0,0,0
04/02/2022,Ages_18-24_yrs,23703326,9.3,9.3,19231899,77.5,62.9,8.8,8.8,30.4,6,9.2,9,5846561,79969
04/02/2022,Race_eth_unknown,65537058,34.5,25.6,48599273,,,28.7,22.3,22.2,12,29.2,12.6,10516210,100134
04/02/2022,Race_eth_known,190176856,99.9,74.4,169234925,,,99.9,77.7,53.8,99.9,99.9,99.9,87452793,791845
04/02/2022,Race_eth_NHAIAN,1745684,0.9,0.7,1449213,71.7,59.5,0.9,0.7,44.5,0.7,0.8,1.2,609025,9223
04/02/2022,Ages_25-39_yrs,54360162,21.3,21.3,45430639,79.5,66.4,20.9,20.9,35.1,16.3,21.7,19.6,15939500,174840
04/02/2022,Race_eth_Hispanic,39449013,20.7,15.4,33591200,61.9,52.7,19.8,15.4,41,14.9,19.6,23.7,13063398,187625
04/02/2022,Ages_5-11_yrs,9909357,3.9,3.9,7987184,34.5,27.8,3.7,3.7,0,0,0,0,0,0
04/02/2022,Race_eth_NHMult_Oth,11362697,6,4.4,10121924,,,6,4.6,54.9,6,5.9,8.8,5268697,69353
04/02/2022,Race_eth_NHBlack,19556338,10.3,7.6,17084294,47.4,41.5,10.1,7.8,43.8,8.2,10.1,12.8,7214794,101149
04/02/2022,Sex_known,253444754,99.9,99.1,216300757,,,99.9,99.3,46.9,99.9,99.9,99.9,97787464,890678
04/02/2022,Age_known,255704636,99.9,99.9,217832090,,,99.9,99.9,46.7,99.9,99.9,99.9,97969003,891979
04/02/2022,US,255713962,,100,217834304,77,65.6,,100,46.7,,100,,97969003,891979
04/02/2022,Ages_75+_yrs,22728312,8.9,8.9,19650301,95,85.8,9,9,69.7,14,9.4,9.8,13701482,87672
04/02/2022,Ages_<5yrs,79531,0,0,34836,0.4,0.2,0,0,0,0,0,0,0,0
04/02/2022,Ages_50-64_yrs,58889024,23,23,51277706,92.5,80.5,23.5,23.5,52.2,27.3,24.4,24.5,26754500,218142
04/02/2022,Ages_65-74_yrs,33539705,13.1,13.1,29180857,95,91.5,13.4,13.4,65.9,19.6,13.9,14.5,19239618,129183
04/02/2022,Race_eth_NHWhite,104759463,55.1,41,94961230,53.1,48.1,56.1,43.6,58.5,61.5,56.6,45.2,53787821,357704
04/02/2022,Race_eth_NHNHOPI,608748,0.3,0.2,548955,65.6,59.1,0.3,0.3,45.9,0.3,0.3,0.5,238330,4186
04/02/2022,Ages_12-17_yrs,17340567,6.8,6.8,14806635,68.5,58.5,6.8,6.8,23.5,3.6,7.1,9.9,3483821,88393
04/02/2022,Sex_unknown,2269208,0.9,0.9,1533547,,,0.7,0.7,12,0.2,0.7,0.1,181539,1301
04/01/2022,Ages_12-17_yrs,17340151,6.8,6.8,14806283,68.5,58.5,6.8,6.8,23.5,3.6,7.1,10.1,3483104,92251
04/01/2022,Ages_50-64_yrs,58888184,23,23,51276581,92.5,80.5,23.5,23.5,52.2,27.3,24.4,24.3,26752093,222720
04/01/2022,Race_eth_NHNHOPI,608737,0.3,0.2,548939,65.6,59.1,0.3,0.3,45.9,0.3,0.3,0.5,238323,4258
04/01/2022,Ages_25-39_yrs,54359426,21.3,21.3,45430262,79.5,66.4,20.9,20.9,35.1,16.3,21.7,19.8,15938738,181316
04/01/2022,Race_eth_NHMultiracial,3721591,2,1.5,3721769,50.7,50.7,2.2,1.7,71.5,2.8,2.1,5.3,2474161,42936
04/01/2022,Race_eth_known,190173272,99.9,74.4,169230353,,,99.9,77.7,53.8,99.9,99.9,99.9,87445547,811684
04/01/2022,Ages_18-24_yrs,23702988,9.3,9.3,19231709,77.5,62.9,8.8,8.8,30.4,6,9.2,9.1,5846256,83332
04/01/2022,Race_eth_NHBlack,19555873,10.3,7.6,17083738,47.4,41.4,10.1,7.8,43.8,8.2,10.1,12.8,7214052,103742
04/01/2022,Race_eth_NHOther,7640990,4,3,6399942,,,3.8,2.9,45.6,3.2,3.8,3.3,2793398,26929
04/01/2022,Ages_65-74_yrs,33539067,13.1,13.1,29179654,95,91.5,13.4,13.4,65.9,19.6,13.9,14.2,19237759,129562
04/01/2022,Sex_Male,121175572,47.8,47.4,102924076,74.1,63,47.6,47.2,44.7,45.2,47.5,44.8,44223519,409050
04/01/2022,Race_eth_NHWhite,104758067,55.1,41,94958968,53.1,48.1,56.1,43.6,58.5,61.5,56.6,45.2,53785266,366505
04/01/2022,US,255709486,,100,217829061,77,65.6,,100,46.7,,100,,97961270,914691
04/01/2022,Sex_Female,132264728,52.2,51.7,113371449,78.5,67.3,52.4,52,48.9,54.8,52.5,55.2,53556225,504322
04/01/2022,Age_known,255700160,99.9,99.9,217826847,,,99.9,99.9,46.7,99.9,99.9,99.9,97961270,914691
04/01/2022,Race_eth_NHAsian,12694614,6.7,5,11477822,66.8,60.4,6.8,5.3,67.8,8.3,6.6,8,7270095,65145
04/01/2022,Ages_5-11_yrs,9908631,3.9,3.9,7986166,34.5,27.8,3.7,3.7,0,0,0,0,0,0
04/01/2022,Ages_40-49_yrs,35148306,13.7,13.7,30230326,86.2,74.1,13.9,13.9,43,13.3,14.4,12.9,13002898,117669
04/01/2022,Sex_known,253440300,99.9,99.1,216295525,,,99.9,99.3,46.9,99.9,99.9,99.9,97779744,913372
04/01/2022,Ages_75+_yrs,22727912,8.9,8.9,19649534,95,85.8,9,9,69.7,14,9.4,9.6,13700422,87841
04/01/2022,Ages_16-17_yrs,6046009,2.4,2.4,5186726,72.1,61.8,2.4,2.4,28.5,1.5,2.5,3.2,1480808,29270
04/01/2022,Ages_<5yrs,79531,0,0,34836,0.4,0.2,0,0,0,0,0,0,0,0
04/01/2022,Age_unknown,9326,0,0,2214,,,0,0,0,0,0,0,0,0
04/01/2022,Ages_<12yrs,9994126,3.9,3.9,8022498,20.6,16.5,3.7,3.7,0,0,0,0,0,0
04/01/2022,Race_eth_NHAIAN,1745666,0.9,0.7,1449185,71.7,59.5,0.9,0.7,44.5,0.7,0.8,1.2,609013,9341
04/01/2022,Sex_unknown,2269186,0.9,0.9,1533536,,,0.7,0.7,12,0.2,0.7,0.1,181526,1319
04/01/2022,Race_eth_unknown,65536166,34.5,25.6,48598602,,,28.7,22.3,22.2,12,29.2,12.7,10515723,103007
04/01/2022,Race_eth_NHMult_Oth,11362581,6,4.4,10121711,,,6,4.6,54.9,6,5.9,8.6,5267559,69865
04/01/2022,Ages_12-15_yrs,11294142,4.4,4.4,9619557,66.8,56.9,4.4,4.4,20.8,2,4.6,6.9,2002296,62981
04/01/2022,Race_eth_Hispanic,39447734,20.7,15.4,33589990,61.9,52.7,19.8,15.4,41,14.9,19.6,23.8,13061239,192828
